SKU;Name;Parent SKU;Min - Max;Type;Default price;Extra price;Accounting group;Button name;Cost price;Package content (stock management);Package unit (stock management);Weight;Tare (grams, selling by weight);Sharing status;Statistics group
226;Jack Daniels 4cl;;;item;4.5;;Whiskey;Jack Daniels 4cl;1.0356;;;;;LOCAL;default/
227;Bulleit 2cl;;;item;3.0;;Whiskey;Bulleit 2cl;0.6200;;;;;LOCAL;default/
228;Bulleit 4cl;;;item;5.0;;Whiskey;Bulleit 4cl;1.2300;;;;;LOCAL;default/
229;Maker's Mark 2cl;;;item;3.0;;Whiskey;Maker's Mark 2cl;0.5658;;;;;LOCAL;default/
230;Maker's Mark 4cl;;;item;5.0;;Whiskey;Maker's Mark 4cl;1.1316;;;;;LOCAL;default/
231;Jameson 2cl;;;item;3.0;;Whiskey;Jameson 2cl;0.4880;;;;;LOCAL;default/
232;Jameson 4cl;;;item;5.0;;Whiskey;Jameson 4cl;0.9760;;;;;LOCAL;default/
233;Salami extra;;;item;1.0;;Food;Salami extra;0.4336;40.00000;MASS;;;LOCAL;default/
234;Oliven;;;item;1.0;;Food;Oliven;0.2045;50.00000;MASS;;;LOCAL;default/
236;Extras Pizza;;0-*;group;;;;Extras Pizza;;;;;;LOCAL;
237;Buzzernummer;;;item;0.0;;Food;Buzzernummer;0.0000;;;;;LOCAL;
238;Buzzernummer?;;1-1;group;;;;Buzzernummer?;;;;;;LOCAL;
239;mayo & Ketchup;;;item;0.6;;Food;mayo & Ketchup;0.1737;;;;;LOCAL;default/
240;Vegan Mayo;;;item;0.6;;Food;Vegan Mayo;0.4200;60.00000;VOLUME;;;LOCAL;default/
241;Garlic Dip;;;item;1.0;;Food;Garlic Dip;0.0731;;;;;LOCAL;default/
242;Mayo;;;item;0.6;;Food;Mayo;0.1800;;;;;LOCAL;default/
243;BBQ;;;item;1.0;;Food;BBQ;0.0837;;;;;LOCAL;default/
244;Ketchup;;;item;0.6;;Food;Ketchup;0.0823;;;;;LOCAL;default/
245;Vegan Cheese;;;item;1.0;;Food;Vegan Cheese;1.2940;100.00000;MASS;;;LOCAL;default/
246;Guacamole;;;item;1.0;;Food;Guacamole;0.2502;30.00000;MASS;;;LOCAL;default/
247;salsa;;;item;1.0;;Food;salsa;0.2200;20.00000;MASS;;;LOCAL;default/
248;Sour Cream;;;item;1.0;;Food;Sour Cream;0.1089;30.00000;MASS;;;LOCAL;default/
249;Mushrooms;;;item;1.0;;Food;Mushrooms;0.2100;50.00000;MASS;;;LOCAL;default/
250;Jalapeno;;;item;1.0;;Food;Jalapeno;0.4414;70.00000;MASS;;;LOCAL;default/
251;Dried Tomaotes;;;sub-item;1.0;;Food;Dried Tomaotes;0.4225;;;;;LOCAL;default/
252;Mozzarella Cheese;;;item;1.0;;Food;Mozzarella Cheese;0.8020;100.00000;MASS;;;LOCAL;default/
253;Pepperoni;;;item;1.0;;Food;Pepperoni;0.4236;50.00000;MASS;;;LOCAL;default/
254;Capers;;;item;1.0;;Food;Capers;;;;;;LOCAL;default/
255;Oat Milk1;;;item;0.0;;Coffee;Hafer Milch;0.5880;;;;;LOCAL;default/
256;Plantation Dark 2cl;;;item;3.0;;Rum;Plantation Dark 2cl;0.4491;;;;;LOCAL;default/
257;Plantation Dark 4cl;;;item;5.5;;Rum;Plantation Dark 4cl;0.8983;;;;;LOCAL;default/
258;Plantation 3 Stars 2cl;;;item;3.0;;Rum;Plantation 3 Stars 2cl;0.4443;;;;;LOCAL;default/
261;Plantation 3 Stars 4cl;;;item;5.5;;Rum;Plantation 3 Stars 4cl;0.8886;;;;;LOCAL;
262;Glühwein 0,2l;;;item;4.5;;Wein;Glühwein 0,2l;0.3592;;;;;LOCAL;default/
264;Mimosa;;;item;5.0;;Wein;Mimosa;0.3325;;;;;LOCAL;default/
