SKU;Name;Parent SKU;Min - Max;Type;Default price;Extra price;Accounting group;Menu/Screen;Button name;Button color;Barcode;Cost price;Package content (stock management);Package unit (stock management);Weight;Tare (grams, selling by weight);Sharing status;Docket name;Course;Statistics group;Production instruction
148;Mexikaner;;;item;2.5;;SHOTS;Menu/Shots,Order Anywhere/Shots;Mexikaner;BLUE;;0.1199;;;;;LOCAL;;;default/;
149;Vodka;;;item;2.5;;SHOTS;Menu/Shots,Order Anywhere/Shots;Vodka;BLUE;;0.3174;;;;;LOCAL;;;default/;
150;Baileys;;;item;2.5;;SHOTS;Menu/Shots,Order Anywhere/Shots;Bailey´s;BLUE;;0.3532;;;;;LOCAL;;;default/;
151;Jägermeister;;;item;3.0;;SHOTS;Menu/Shots,Order Anywhere/Shots;Jägermeister;BLUE;;0.3742;;;;;LOCAL;;;default/;
152;Berliner Luft;;;item;2.5;;SHOTS;Menu/Shots,Order Anywhere/Shots;Berliner Luft;BLUE;;0.2014;;;;;LOCAL;;;default/;
153;Sambuca;;;item;2.5;;SHOTS;Menu/Shots,Order Anywhere/Shots;Sambuca;BLUE;;0.3534;;;;;LOCAL;;;default/;
154;Jameson - shot;;;item;3.0;;SHOTS;Menu/Shots,Order Anywhere/Shots;Jameson;BLUE;;0.4880;;;;;LOCAL;;;default/;
155;Disaronno - Amaretto;;;item;2.5;;SHOTS;Menu/Shots,Order Anywhere/Shots;Disaronno;BLUE;;0.3794;;;;;LOCAL;;;default/;
156;Cosmopolitan;;;item;10.0;;Cocktails;Menu/Cocktails,Order Anywhere/Cocktails;Cosmopolitan;BLUE;;1.6386;;;;;LOCAL;;;default/;
158;Espresso Martini;;;item;10.0;;Cocktails;Menu/Cocktails,Order Anywhere/Cocktails;Espresso Martini;BLUE;;1.6386;;;;;LOCAL;;;default/;
159;Tails Berry Mojito;;;item;10.0;;Cocktails;Menu/Cocktails,Order Anywhere/Cocktails;Tails Berry Mojito;BLUE;;2.3719;;;;;LOCAL;;;default/;
160;Paloma;;;item;10.0;;Cocktails;Menu/Cocktails,Order Anywhere/Cocktails;Paloma;BLUE;;2.3163;;;;;LOCAL;;;default/;
161;Thyme of my Life;;;item;10.0;;Cocktails;Menu/Cocktails,Order Anywhere/Cocktails;Thyme of my Life;BLUE;;1.6540;;;;;LOCAL;;;default/;
162;Passion Fruit Margarita;;;item;10.0;;Cocktails;Menu/Cocktails,Order Anywhere/Cocktails;Margharita;BLUE;;2.3163;;;;;LOCAL;;;default/;
163;Negroni;;;item;11.0;;Cocktails;Menu/Cocktails,Order Anywhere/Cocktails;Negroni;BLUE;;1.8294;;;;;LOCAL;;;default/;
164;Off Menu Cocktails;;;item;11.0;;Cocktails;Menu/Cocktails,Order Anywhere/Cocktails;Off Menu Cocktails;BLUE;;;;;;;LOCAL;;;default/;
166;Pina Colada;;;item;10.0;;Cocktails;Menu/Cocktails,Order Anywhere/Cocktails;Pina Colada;BLUE;;1.1931;;;;;LOCAL;;;default/;
167;Slow gin Sour;;;item;11.0;;Cocktails;Menu/Cocktails,Order Anywhere/Cocktails;Slow gin Sour;BLUE;;1.6100;;;;;LOCAL;;;default/;
170;Liquor 43 Mixer;;;item;9.0;;Long Drinks;Menu/Long Drinks,Order Anywhere/Long Drinks;Liquor 43 Mixer;PURPLE;;1.0000;;;;;LOCAL;;;default/;
172;Dark & Stormy;;;item;9.0;;Long Drinks;Menu/Long Drinks,Order Anywhere/Long Drinks;Dark & Stormy;YELLOW;;1.1623;;;;;LOCAL;;;default/;
173;Tennessee Mule;;;item;9.0;;Long Drinks;Menu/Long Drinks,Order Anywhere/Long Drinks;Tennessee Mule;DARK_RED;;1.3411;;;;;LOCAL;;;default/;
